# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S12	ang:Trc2_S12	db:Trc3_S21	ang:Trc3_S21	db:Trc4_S22	ang:Trc4_S22	
8.000000000000000E+09	-4.975782328209232E-01	-1.784869299993850E+02	-5.508709285228514E+01	1.609542335295485E+02	-5.511284411344108E+01	1.606277116840320E+02	-8.890982595215848E-01	1.778264050350009E+02	
8.016235055635213E+09	-4.770519798607608E-01	-1.784393834979628E+02	-5.504117171557424E+01	1.603919778822112E+02	-5.507946559095866E+01	1.600068947622008E+02	-8.735290675894609E-01	1.779407764128658E+02	
8.032503058399389E+09	-4.669338859454777E-01	-1.784636056949687E+02	-5.502020913553184E+01	1.599408716189266E+02	-5.504552789141749E+01	1.595225356230457E+02	-8.715292079962162E-01	1.779497214898678E+02	
8.048804075154778E+09	-4.671540514737519E-01	-1.784857431886154E+02	-5.501379537525246E+01	1.595454149978308E+02	-5.503460533913167E+01	1.591944673845447E+02	-8.752428762827524E-01	1.779076020067969E+02	
8.065138172899440E+09	-4.725614479775830E-01	-1.784020828814299E+02	-5.498401162888100E+01	1.590624664153871E+02	-5.500943548963011E+01	1.586325127223672E+02	-8.822409725882798E-01	1.779567954055016E+02	
8.081505418767274E+09	-4.918524270812286E-01	-1.783224709905632E+02	-5.497600015102847E+01	1.584650979784287E+02	-5.500817340484234E+01	1.580544439926252E+02	-9.008241834719048E-01	1.779946480352587E+02	
8.097905880028548E+09	-4.743905009234788E-01	-1.782828290903410E+02	-5.493471617957887E+01	1.578729871348924E+02	-5.496731939169234E+01	1.574811001103066E+02	-8.887416124985082E-01	1.779741987493315E+02	
8.114339624089917E+09	-4.739414750261720E-01	-1.783867487317406E+02	-5.491834171825922E+01	1.571887981000312E+02	-5.494250194928037E+01	1.567902582329042E+02	-8.977806788859040E-01	1.777861020780230E+02	
8.130806718494961E+09	-4.876241081222766E-01	-1.784293800925314E+02	-5.491648972103954E+01	1.566275086587505E+02	-5.494166582229278E+01	1.562500979277772E+02	-9.142206924981153E-01	1.776190674537362E+02	
8.147307230924198E+09	-4.917504232789416E-01	-1.783630753969026E+02	-5.489545983584148E+01	1.561933855411766E+02	-5.494410362883919E+01	1.558223884665918E+02	-9.204001979258674E-01	1.775572621160543E+02	
